RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Lokale partijen;VVD;CDA;Democraten 66 (D66);GROENLINKS;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);PVV (Partij voor de Vrijheid);ChristenUnie/SGP;Partij voor de Dieren;DENK;GROENLINKS/P.v.d.A.;50PLUS;D66/GROENLINKS/P.v.d.A.;Forum voor Democratie;NIDA;Fryske Nasjonale Partij (FNP);D66/GROENLINKS;Verenigde Senioren Partij;Algemeen Ouderen Verbond (AOV);Ouderen Politiek Actief (OPA);TROTS op Nederland Lijst Rita Verdonk;Piratenpartij;D66/P.v.d.A.;D66/GROENLINKS/P.v.d.A./SP;D66/VVD;JEZUS LEEFT;Nieuwe Communistische Partij (NCPN);U-Buntu Connected Front (UCF);Libertarische Partij (LP);Basis Inkomen Partij (BIP);Vrede en Recht;TROTS/OPA;QUEER
Westland;G1783;11418;Zuid-Holland;P28;85293;49495;136;119;49240;25924;4211;11356;2022;2076;1154;;;;;2497;;;;;;;;;;;;;;;;;;;;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;20749;11428;46;96;11286;4735;2471;2180;620;1280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Westvoorne;G0614;10009;Zuid-Holland;P28;12022;6933;28;27;6878;3718;1468;619;514;;559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wierden;G0189;10676;Overijssel;P23;18890;12830;31;29;12770;4634;1221;3120;;;;;2162;;;;;;;;1633;;;;;;;;;;;;;;;;;;;;
Wijchen;G0296;10723;Gelderland;P25;32489;18564;56;73;18435;10426;2259;2606;1283;;1861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wijdemeren;G1696;10534;Noord-Holland;P27;19004;11658;36;61;11561;4659;1762;2120;1239;;;;438;;;;;;1343;;;;;;;;;;;;;;;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;18654;11484;22;36;11426;3363;2161;1092;912;1829;434;1635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;23084;13710;33;48;13629;3449;2546;3900;1049;1349;1336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;17836;8989;31;30;8928;4013;1230;1954;823;;908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woerden;G0632;10974;Utrecht;P26;39822;25379;58;67;25254;7453;3413;5248;2281;;;907;;;;2578;;;3374;;;;;;;;;;;;;;;;;;;;;;
Wormerland;G0880;10648;Noord-Holland;P27;12895;7392;23;44;7325;2403;1366;776;390;1642;748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;9782;7119;22;13;7084;2381;535;1089;;;;;771;1574;;;;;734;;;;;;;;;;;;;;;;;;;;;;
Zaanstad;G0479;11044;Noord-Holland;P27;121486;62556;287;199;62070;18578;8152;3033;5031;4192;6137;4379;2012;;4492;;2663;3401;;;;;;;;;;;;;;;;;;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;21404;13196;28;33;13135;2525;1493;1770;591;;;715;1578;2527;;;;;1936;;;;;;;;;;;;;;;;;;;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;14076;7998;48;40;7910;2434;1415;1022;1087;609;538;;;;773;;;;;;;;;;;;;;;;;;;;;;;;;;32
Zeewolde;G0050;10012;Flevoland;P24;16916;9809;28;30;9751;3675;1507;1071;1233;;;;1402;;;;;;863;;;;;;;;;;;;;;;;;;;;;;
Zeist;G0355;10324;Utrecht;P26;48929;28681;91;124;28466;6189;6110;2334;3341;5643;1415;1440;;;;1994;;;;;;;;;;;;;;;;;;;;;;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;96946;49688;201;251;49236;14136;8002;4632;5593;5211;2952;2957;;;3086;2667;;;;;;;;;;;;;;;;;;;;;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6750;4179;20;25;4134;400;739;1291;;;;;;;;;;;;;1704;;;;;;;;;;;;;;;;;;;;
Zuidplas;G1892;10855;Zuid-Holland;P28;32648;18846;49;79;18718;2051;4245;3583;1423;;;1509;;;;3877;;;2030;;;;;;;;;;;;;;;;;;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;17873;9159;24;38;9097;4700;1695;1757;945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zutphen;G0301;10254;Gelderland;P25;37535;21282;68;122;21092;4768;2110;1489;2316;3712;2784;3082;831;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zwartewaterland;G1896;10746;Overijssel;P23;16691;11839;31;28;11780;2409;901;1792;;;1178;;3009;2491;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;35389;16936;72;76;16788;5698;1902;1942;1372;1056;1283;816;;;;2719;;;;;;;;;;;;;;;;;;;;;;;;;
Zwolle;G0193;10093;Overijssel;P23;98082;60214;181;303;59730;8631;8181;6755;6277;9981;5862;3360;10683;;;;;;;;;;;;;;;;;;;;;;;;;;;;
