RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Lokale partijen;VVD;CDA;Democraten 66 (D66);GROENLINKS;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);PVV (Partij voor de Vrijheid);ChristenUnie/SGP;Partij voor de Dieren;DENK;GROENLINKS/P.v.d.A.;50PLUS;D66/GROENLINKS/P.v.d.A.;Forum voor Democratie;NIDA;Fryske Nasjonale Partij (FNP);D66/GROENLINKS;Verenigde Senioren Partij;Algemeen Ouderen Verbond (AOV);Ouderen Politiek Actief (OPA);TROTS op Nederland Lijst Rita Verdonk;Piratenpartij;D66/P.v.d.A.;D66/GROENLINKS/P.v.d.A./SP;D66/VVD;JEZUS LEEFT;Nieuwe Communistische Partij (NCPN);U-Buntu Connected Front (UCF);Libertarische Partij (LP);Basis Inkomen Partij (BIP);Vrede en Recht;TROTS/OPA;QUEER
Oldenzaal;G0173;11100;Overijssel;P23;25008;14576;57;78;14441;4006;2943;3317;1016;1931;1228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olst-Wijhe;G1773;10409;Overijssel;P23;14392;8519;25;23;8471;2099;1323;1975;849;1045;1180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ommen;G0175;11069;Overijssel;P23;13965;9163;22;30;9111;3225;1089;2228;523;;488;;1558;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oost Gelre;G1586;11094;Gelderland;P25;23632;14067;61;54;13952;4223;2932;4685;912;;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;44351;21774;111;180;21483;10092;3608;2250;1627;3046;860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;20582;11180;17;61;11102;3958;1333;1531;642;1082;1708;;848;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;7771;4562;36;49;4477;;1823;589;462;1159;444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opmeer;G0432;10609;Noord-Holland;P27;9162;5443;11;18;5414;2367;792;1758;;;497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;23441;13577;27;54;13496;4087;1330;2006;688;1538;1697;;1568;;;;;;;;;;;582;;;;;;;;;;;;;;;;;
Oss;G0828;10834;Noord-Brabant;P30;72814;37373;95;165;37113;13286;4120;3935;2353;1967;1443;10009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oude IJsselstreek;G1509;10260;Gelderland;P25;31804;18163;49;57;18057;6680;2020;3927;961;;2032;2437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;10379;6532;21;29;6482;1802;1138;1060;1018;924;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudewater;G0589;10188;Utrecht;P26;7979;5268;17;40;5211;1073;;2056;;;;;;;;578;;;;;;;;;;;;;;;;;1504;;;;;;;;
Overbetuwe;G1734;11188;Gelderland;P25;36655;20319;60;71;20188;4489;2249;5562;2463;2468;1499;;943;515;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;25582;13432;44;57;13331;5478;1402;1434;1048;844;851;;1391;883;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peel en Maas;G1894;10205;Limburg;P31;35289;17994;64;142;17788;6466;3149;6114;;;;;;;;;;;2059;;;;;;;;;;;;;;;;;;;;;;
Pekela;G0765;10848;Groningen;P20;9911;4932;21;14;4897;818;313;506;;326;730;1356;229;;619;;;;;;;;;;;;;;;;;;;;;;;;;;
Pijnacker-Nootdorp;G1926;10031;Zuid-Holland;P28;39780;22774;52;108;22614;6129;4177;3285;2793;;;;;;;1041;1247;;2939;;;;;;;;;;1003;;;;;;;;;;;;
Purmerend;G0439;11066;Noord-Holland;P27;64279;31374;132;143;31099;8296;2974;3188;3214;3060;2601;2223;;;2211;;;;;;;;;;;;2646;;686;;;;;;;;;;;;
Putten;G0273;11109;Gelderland;P25;18977;12436;43;64;12329;5446;;2485;;;;;2510;1888;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raalte;G0177;10279;Overijssel;P23;29652;18526;50;80;18396;9451;2256;3784;778;897;770;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reimerswaal;G0703;10077;Zeeland;P29;16754;11609;32;19;11558;2030;1426;1053;;;1145;;1725;4179;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renkum;G0274;11325;Gelderland;P25;25418;15797;54;55;15688;4734;2372;1695;2525;2958;1404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renswoude;G0339;10269;Utrecht;P26;3814;2836;7;8;2821;340;591;319;;;;;1013;558;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;10415;5315;26;44;5245;2696;890;997;;;662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rheden;G0275;11355;Gelderland;P25;35493;19451;78;126;19247;1965;3544;2754;2443;2413;2608;2617;903;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhenen;G0340;10309;Utrecht;P26;15301;9504;20;24;9460;1096;1627;813;975;1375;422;;1049;1926;;;;;;;;;;;;;;;177;;;;;;;;;;;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;37250;20270;51;67;20152;8708;1273;1836;861;921;1961;;1766;2826;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijssen-Holten;G1742;10358;Overijssel;P23;28512;21436;62;35;21339;3279;2318;3524;877;533;1287;;3905;5616;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;41625;21457;82;125;21250;9684;2476;1883;2307;3218;1338;;;;;;;;;;;;;;;;;;;;;;;;;;344;;;;
Roerdalen;G1669;10196;Limburg;P31;17294;9215;47;63;9105;5351;776;2110;;;868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roermond;G0957;11313;Limburg;P31;46847;25557;78;113;25366;10754;2022;3891;1430;4793;618;1023;;;;;;835;;;;;;;;;;;;;;;;;;;;;;;
Roosendaal;G1674;10407;Noord-Brabant;P30;61947;28319;166;109;28044;12167;3740;3330;1607;2464;1629;2378;729;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;501234;234037;2099;1152;230786;54943;24641;10756;22920;22721;22275;11389;;;8149;6956;8091;16955;;7359;;;12389;;;;;;;;;;;707;;535;;;;;
Rozendaal;G0277;10684;Gelderland;P25;1225;1007;5;3;999;999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;18774;9608;15;27;9566;3079;2214;1054;824;;449;;;;1946;;;;;;;;;;;;;;;;;;;;;;;;;;
Schagen;G0441;10511;Noord-Holland;P27;37462;20714;57;60;20597;6823;2605;6276;943;1221;1854;875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scherpenzeel;G0279;11146;Gelderland;P25;7367;5455;24;4;5427;2054;;732;;;;;768;1193;;;;;;;680;;;;;;;;;;;;;;;;;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;61574;28266;175;150;27941;5823;4355;2045;2828;2456;1990;1390;;;;707;;3260;;;;;;;;;3087;;;;;;;;;;;;;;
