RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Aa en Hunze;G1680;10787;Assen;K3;20252;11621;25;43;11553;2398;906;1220;1062;1330;2210;736;287;;513;53;;;;;;;;;;;627;;;;;;;;;;;;211;;;;;;;;;;;;;;;;;;;
Aalburg;G0738;11084;Tilburg;K17;9607;5358;11;18;5329;474;982;145;606;253;160;41;;112;78;;2278;;;;181;;;;;;;;;;;;;4;;;;;;12;;;;;;;;;;;;;2;1;;;;
Aalsmeer;G0358;11264;Haarlem;K10;22501;11501;21;29;11451;3196;1809;1317;1456;650;997;269;;312;403;;668;;153;;;82;61;;;;;;;;;;;;71;;7;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Arnhem;K7;20812;10075;20;26;10029;1387;3047;900;759;1292;749;355;635;239;257;67;;;;;;;;;;;;;214;53;;;;8;;;;;;;25;;;19;;10;;8;;;;;;;5;;;
Achtkarspelen;G0059;10199;Leeuwarden;K2;21489;10931;25;21;10885;720;2604;346;1334;893;1197;151;1741;132;180;;;1559;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;14;;;;;;1;
Alblasserdam;G0482;11327;Dordrecht;K14;14672;7759;20;15;7724;822;954;509;947;651;709;113;862;167;241;1680;;;;;;;;;;;;26;;;8;;;8;;;;;;25;;;;;;2;;;;;;;;;;;;
Albrandswaard;G0613;10124;Dordrecht;K14;18922;8852;31;21;8800;1879;1221;918;1550;695;709;246;372;344;389;198;;;;;;;;;;;;212;;;27;;;11;;;;;;21;;;;;;8;;;;;;;;;;;;
Alkmaar;G0361;10527;Den Helder;K11;82035;38933;102;125;38706;6347;3894;5468;4199;4346;4998;2835;;2004;1675;;733;;1045;;;485;353;;;;;;;;;;;;222;;102;;;;;;;;;;;;;;;;;;;;;
Almelo;G0141;11053;Zwolle;K4;54122;22348;96;58;22194;2680;3761;2495;3345;3107;2829;794;1065;542;829;167;;;;;;;;;;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almere;G0034;10018;Lelystad;K5;140902;56720;205;188;56327;9287;4185;7723;10133;7284;5919;2712;1737;3175;3234;245;;;;;;;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;;524;;;;;;
Alphen aan den Rijn;G0484;10517;Leiden;K15;80273;41162;98;153;40911;8191;6406;5210;4864;3708;3664;1805;2207;1385;1421;1620;;;;;;;;;;;;153;;;158;;;74;;;;;;;;;;;;45;;;;;;;;;;;;
Alphen-Chaam;G1723;10710;Tilburg;K17;7647;3961;22;11;3928;662;1506;361;364;367;207;105;;119;161;;15;;;;47;;;;;;;;;;;;;5;;;;;;5;;;;;;;;;;;;;1;3;;;;
Ameland;G0060;11153;Leeuwarden;K2;2734;1405;2;5;1398;299;408;86;108;99;207;33;28;41;55;;;32;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;0;;;;;;0;
Amersfoort;G0307;10948;Utrecht;K8;111747;57761;130;181;57450;9374;5504;10874;4583;6679;5860;4065;5050;2478;1611;867;;;;;;;;;;;;;;;;;;81;;;;214;;131;;;;;;79;;;;;;;;;;;;
Amstelveen;G0362;10799;Haarlem;K10;59659;31872;108;100;31664;7557;2771;5783;3065;2698;3367;2039;;1300;987;;893;;526;;;182;281;;;;;;;;;;;;175;;40;;;;;;;;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Amsterdam;K9;578940;252304;1208;1073;250023;33784;8268;51248;18931;31759;38062;30211;;16266;4684;;5240;;2753;;;998;3935;;;;;;;;;;;;1349;;2535;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;G0200;11075;Arnhem;K7;123174;59897;146;153;59598;9821;7885;8216;5691;5846;5745;3058;4212;2610;2134;3000;;;;;;;;;;;;;272;302;;;;100;;;;;;;214;;;175;;54;;221;;;;;;;42;;;
Appingedam;G0003;10886;Groningen;K1;9622;4795;8;16;4771;291;568;275;469;884;586;113;302;110;154;;;;;592;;;;;;;;;;;;;;;;157;;;;;17;97;;;119;;14;;11;;;;;;;3;;9
Arnhem;G0202;10795;Arnhem;K7;115799;48404;168;135;48101;6409;3475;9027;4618;7103;5714;4419;1629;2846;1303;162;;;;;;;;;;;;;332;223;;;;114;;;;;;;225;;;264;;47;;95;;;;;;;96;;;
Assen;G0106;10522;Assen;K3;51347;25996;69;69;25858;3025;2502;3117;2184;3556;4301;1601;3200;;941;278;;;;;;;;;;;829;;;;;;;;;;;;324;;;;;;;;;;;;;;;;;;;
Asten;G0743;10478;'s-Hertogenbosch;K18;12660;6216;16;29;6171;1148;1670;597;720;874;419;170;;151;278;;28;;;;89;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;3;8;;;;
Baarle-Nassau;G0744;10060;Tilburg;K17;5177;2264;7;5;2252;299;842;133;285;301;110;59;;89;90;;7;;;;29;;;;;;;;;;;;;1;;;;;;6;;;;;;;;;;;;;0;1;;;;
Baarn;G0308;11411;Utrecht;K8;19019;10281;23;31;10227;2286;1394;1721;950;793;849;694;481;488;342;148;;;;;;;;;;;;;;;;;;9;;;;32;;24;;;;;;16;;;;;;;;;;;;
Barendrecht;G0489;10943;Dordrecht;K14;35059;16505;41;57;16407;3086;2415;1782;2577;1266;1269;476;835;582;676;1210;;;;;;;;;;;;102;;;63;;;19;;;;;;38;;;;;;11;;;;;;;;;;;;
Barneveld;G0203;10906;Arnhem;K7;39693;24066;59;45;23962;3091;4087;1219;2008;810;700;301;3792;298;449;6891;;;;;;;;;;;;;80;76;;;;27;;;;;;;45;;;28;;21;;31;;;;;;;8;;;
Bedum;G0005;10425;Groningen;K1;8175;5108;12;17;5079;364;972;292;251;650;583;234;854;137;66;;;;;392;;;;;;;;;;;;;;;;159;;;;;15;29;;;57;;8;;3;;;;;;;8;;5
Beek;G0888;11374;Maastricht;K19;13172;6652;17;25;6610;906;1557;707;1241;831;431;152;;204;236;;;;;;;;;85;240;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;
Beemster;G0370;10816;Den Helder;K11;7026;4070;12;12;4046;1567;428;438;372;257;353;181;;163;99;;37;;88;;;26;22;;;;;;;;;;;;13;;2;;;;;;;;;;;;;;;;;;;;;
Beesel;G0889;10195;Venlo;K191;10605;4695;13;28;4654;542;1302;385;872;587;310;123;;90;182;;;;;;;;;150;58;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;
Bellingwedde;G0007;10340;Groningen;K1;7291;3944;15;10;3919;399;321;222;546;952;496;134;132;194;90;;;;;200;;;;;;;;;;;;;;;;102;;;;;11;28;;;26;;18;;34;;;;;;;6;;8
Bergeijk;G1724;11160;'s-Hertogenbosch;K18;14201;6880;15;20;6845;1116;2489;481;812;808;407;169;;186;223;;42;;;;95;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;4;3;;;;
Bergen;G0893;11281;Maastricht;K19;10368;4592;14;25;4553;461;1485;299;775;847;273;101;;111;132;;;;;;;;;24;31;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;
Bergen;G0373;11424;Den Helder;K11;24022;13424;26;39;13359;2976;1709;1886;1376;1030;1297;1146;;785;436;;135;;271;;;172;70;;;;;;;;;;;;69;;1;;;;;;;;;;;;;;;;;;;;;
Bergen op Zoom;G0748;11037;Tilburg;K17;50578;21140;61;74;21005;4060;2476;2530;3585;2946;1924;639;;728;1322;;255;;;;464;;;;;;;;;;;;;18;;;;;;38;;;;;;;;;;;;;7;13;;;;
Berkelland;G1859;10436;Arnhem;K7;35035;18796;46;66;18684;3920;3629;2133;1551;2934;1872;712;318;459;521;62;;;;;;;;;;;;;356;56;;;;22;;;;;;;56;;;44;;16;;14;;;;;;;9;;;
Bernheze;G1721;10149;'s-Hertogenbosch;K18;22655;10045;18;26;10001;1818;2514;1153;908;2040;590;277;;184;328;;41;;;;133;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;4;3;;;;
Best;G0753;10442;'s-Hertogenbosch;K18;21795;10091;18;48;10025;1904;1468;1577;1138;1407;710;365;;320;574;;334;;;;193;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;13;7;;;;
Beuningen;G0209;10417;Nijmegen;K6;19827;8806;19;23;8764;1685;1232;1292;1069;1426;725;438;99;241;340;9;;;;;;;;;;;;;38;72;;;;18;;;;;;;19;;;31;;12;;18;;;;;;;;;;
Beverwijk;G0375;10272;Haarlem;K10;29588;11877;39;44;11794;1820;1188;1524;1813;1501;1179;558;;545;531;;180;;274;;;298;108;;;;;;;;;;;;108;;167;;;;;;;;;;;;;;;;;;;;;
Binnenmaas;G0585;10222;Dordrecht;K14;22697;11890;29;35;11826;2245;1853;958;1671;946;1128;273;573;427;462;1076;;;;;;;;;;;;46;;;104;;;25;;;;;;36;;;;;;3;;;;;;;;;;;;
Bladel;G1728;11006;'s-Hertogenbosch;K18;15446;6949;13;19;6917;1106;1635;529;889;1001;618;261;;188;366;;45;;;;256;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;8;2;;;;
Blaricum;G0376;10493;Haarlem;K10;7250;4343;6;8;4329;1459;527;624;424;250;300;103;;120;96;;96;;43;;;256;13;;;;;;;;;;;;15;;3;;;;;;;;;;;;;;;;;;;;;
Bloemendaal;G0377;10850;Haarlem;K10;16774;10864;31;34;10799;3310;1095;2103;643;510;795;893;;425;214;;175;;93;;;435;62;;;;;;;;;;;;38;;8;;;;;;;;;;;;;;;;;;;;;
Bodegraven-Reeuwijk;G1901;11091;Leiden;K15;25160;13965;42;38;13885;2846;2871;1302;1494;658;836;451;1040;334;364;1570;;;;;;;;;;;;24;;;66;;;20;;;;;;;;;;;;9;;;;;;;;;;;;
Boekel;G0755;10432;'s-Hertogenbosch;K18;7626;3686;20;16;3650;654;1122;283;423;610;169;81;;109;120;;18;;;;46;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;4;5;;;;
Borger-Odoorn;G1681;10448;Assen;K3;20532;10726;41;26;10659;1524;1255;812;1507;1239;1689;365;471;;519;60;;;;;;;;;;;962;;;;;;;;;;;;256;;;;;;;;;;;;;;;;;;;
Borne;G0147;10326;Zwolle;K4;16987;8875;21;14;8840;1156;2645;1061;816;1203;860;373;150;174;255;25;;;;;;;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borsele;G0654;10043;Middelburg;K16;17061;9797;31;14;9752;1192;1802;579;918;724;729;285;383;;223;2059;;;;;;;;;;;;;;;;141;587;;;;;;;;;;130;;;;;;;;;;;;;;;
Boxmeer;G0756;11227;'s-Hertogenbosch;K18;21988;11763;31;48;11684;1747;2545;962;1047;3773;650;294;;224;246;;64;;;;101;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;11;6;;;;
Boxtel;G0757;10083;'s-Hertogenbosch;K18;23279;10263;31;45;10187;1545;2087;1292;1029;1920;878;490;;311;358;;91;;;;151;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;12;6;;;;
Breda;G0758;10154;Tilburg;K17;138511;58479;187;184;58108;12073;6932;9776;5962;8049;5629;3582;;2169;2178;;677;;;;814;;;;;;;;;;;;;109;;;;;;83;;;;;;;;;;;;;43;32;;;;
Brielle;G0501;10232;Dordrecht;K14;13040;6154;15;27;6112;1305;797;603;980;1005;504;166;113;242;280;35;;;;;;;;;;;;40;;;20;;;13;;;;;;7;;;;;;2;;;;;;;;;;;;
Bronckhorst;G1876;11159;Arnhem;K7;29284;15325;18;25;15282;3416;3377;1747;1204;1469;1341;588;451;425;390;212;;;;;;;;;;;;;434;97;;;;13;;;;;;;54;;;23;;12;;17;;;;;;;12;;;
Brummen;G0213;10798;Arnhem;K7;16681;7881;11;17;7853;1730;1026;969;853;901;1013;395;148;281;257;55;;;;;;;;;;;;;99;48;;;;8;;;;;;;29;;;23;;4;;11;;;;;;;3;;;
Brunssum;G0899;10533;Maastricht;K19;23035;10074;43;32;9999;1142;1337;484;2175;1872;1173;172;;296;370;;;;;;;;;76;878;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;
Bunnik;G0312;10820;Utrecht;K8;11230;7102;15;19;7068;1269;1157;1242;461;442;781;820;210;280;180;165;;;;;;;;;;;;;;;;;;4;;;;37;;16;;;;;;4;;;;;;;;;;;;
Bunschoten;G0313;11343;Utrecht;K8;15111;8249;31;13;8205;702;1864;199;1171;246;151;47;2633;82;138;908;;;;;;;;;;;;;;;;;;6;;;;9;;43;;;;;;6;;;;;;;;;;;;
Buren;G0214;11286;Nijmegen;K6;20191;10107;24;23;10060;2128;1254;1130;1500;693;898;253;350;349;241;768;;;;;;;;;;;;;46;361;;;;16;;;;;;;17;;;35;;6;;15;;;;;;;;;;
Bussum;G0381;10281;Haarlem;K10;24275;13043;38;44;12961;3506;1195;2472;1060;880;1251;740;;498;286;;473;;270;;;167;98;;;;;;;;;;;;55;;10;;;;;;;;;;;;;;;;;;;;;
Capelle aan den IJssel;G0502;11248;Leiden;K15;50707;21912;78;93;21741;3334;1955;2485;3552;2399;2088;582;1218;906;1165;1847;;;;;;;;;;;;78;;;94;;;23;;;;;;;;;;;;15;;;;;;;;;;;;
Castricum;G0383;11287;Den Helder;K11;27170;15509;41;30;15438;3365;2064;2184;1256;1748;1559;1079;;636;442;;206;;266;;;410;132;;;;;;;;;;;;82;;9;;;;;;;;;;;;;;;;;;;;;
Coevorden;G0109;10383;Assen;K3;27902;14090;40;31;14019;2676;2439;1161;1646;1824;2071;472;434;;521;107;;;;;;;;;;;429;;;;;;;;;;;;239;;;;;;;;;;;;;;;;;;;
Cranendonck;G1706;10219;'s-Hertogenbosch;K18;16004;6926;23;28;6875;1152;1550;633;1199;1004;450;136;;193;368;;48;;;;116;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;8;5;;;;
Cromstrijen;G0611;11346;Dordrecht;K14;10193;5218;15;26;5177;1015;822;461;709;451;487;128;154;160;192;496;;;;;;;;;;;;18;;;64;;;7;;;;;;5;;;;;;8;;;;;;;;;;;;
Cuijk;G1684;10023;'s-Hertogenbosch;K18;18961;8919;32;33;8854;1432;1506;1043;929;2345;652;313;;206;247;;49;;;;110;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;3;3;;;;
Culemborg;G0216;10342;Nijmegen;K6;20637;10183;22;39;10122;1586;1248;1627;1121;1020;1080;996;436;394;280;133;;;;;;;;;;;;;25;67;;;;9;;;;;;;46;;;30;;10;;14;;;;;;;;;;
Dalfsen;G0148;11007;Zwolle;K4;21260;11890;21;29;11840;1501;3883;971;708;748;924;237;1491;197;301;352;;;;;;;;;;527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dantumadiel;G1891;10650;Leeuwarden;K2;14887;7970;17;13;7940;390;2083;221;871;786;784;165;1515;129;122;;;842;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;15;;;;;;3;
De Bilt;G0310;10168;Utrecht;K8;32506;19887;38;46;19803;4167;2281;3629;1504;1732;1827;1564;706;864;472;889;;;;;;;;;;;;;;;;;;23;;;;94;;35;;;;;;16;;;;;;;;;;;;
De Friese Meren;G1921;10022;Leeuwarden;K2;39471;21500;29;57;21414;3053;5163;1530;1758;1792;2673;550;1034;487;541;;;2707;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;;;80;;;;;;12;
De Marne;G1663;10180;Groningen;K1;8076;4545;18;15;4512;466;781;202;377;677;548;284;491;218;83;;;;;216;;;;;;;;;;;;;;;;79;;;;;7;35;;;24;;8;;7;;;;;;;6;;3
De Ronde Venen;G0736;11379;Utrecht;K8;32575;18041;44;56;17941;4495;3386;2451;1956;960;1185;694;611;601;864;397;;;;;;;;;;;;;;;;;;25;;;;240;;55;;;;;;21;;;;;;;;;;;;
De Wolden;G1690;10262;Assen;K3;18667;10533;30;18;10485;2386;1887;1045;849;738;1139;527;548;;334;71;;;;;;;;;;;839;;;;;;;;;;;;122;;;;;;;;;;;;;;;;;;;
Delft;G0503;10928;Dordrecht;K14;74581;37699;118;276;37305;5408;3239;7714;3867;3741;4927;3558;1311;1668;1135;305;;;;;;;;;;;;155;;;92;;;99;;;;;;64;;;;;;22;;;;;;;;;;;;
Delfzijl;G0010;10976;Groningen;K1;20120;9383;28;34;9321;810;1039;458;928;1376;976;194;780;261;202;;;;;1366;;;;;;;;;;;;;;;;178;;;;;13;469;;;167;;32;;38;;;;;;;16;;18
Den Helder;G0400;10285;Den Helder;K11;44715;17439;55;48;17336;2965;1952;1476;3043;1688;1734;384;;593;1102;;961;;588;;;530;129;;;;;;;;;;;;160;;31;;;;;;;;;;;;;;;;;;;;;
Deurne;G0762;10379;'s-Hertogenbosch;K18;24970;10880;34;42;10804;1960;2505;1059;1360;1683;659;409;;287;649;;84;;;;111;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;13;5;;;;
Deventer;G0150;10899;Zwolle;K4;73786;36139;99;105;35935;4959;4030;5782;2889;4426;6406;2786;1235;1337;1342;157;;;;;;;;;;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diemen;G0384;11039;Haarlem;K10;19677;8888;43;34;8811;1363;562;1264;1148;1109;1162;712;;458;449;;191;;118;;;79;108;;;;;;;;;;;;69;;19;;;;;;;;;;;;;;;;;;;;;
Dinkelland;G1774;10245;Zwolle;K4;20010;10422;26;11;10385;1691;4964;867;1017;575;532;205;68;137;189;23;;;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doesburg;G0221;10327;Arnhem;K7;8936;4390;9;6;4375;617;573;598;528;759;559;213;103;157;113;12;;;;;;;;;;;;;64;27;;;;3;;;;;;;17;;;8;;5;;16;;;;;;;3;;;
Doetinchem;G0222;10396;Arnhem;K7;44014;20603;40;47;20516;3011;3452;2647;2164;3127;2308;1011;559;639;605;337;;;;;;;;;;;;;370;91;;;;21;;;;;;;48;;;55;;23;;30;;;;;;;18;;;
Dongen;G0766;11412;Tilburg;K17;19783;8515;28;19;8468;1414;1466;968;1006;1349;713;257;;256;326;;178;;;;494;;;;;;;;;;;;;17;;;;;;9;;;;;;;;;;;;;10;5;;;;
Dongeradeel;G0058;10198;Leeuwarden;K2;18554;9735;28;21;9686;613;3005;352;803;911;927;252;1144;194;149;;;1307;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;20;;;;;;1;
Dordrecht;G0505;11157;Dordrecht;K14;89030;38015;153;140;37722;5220;4147;4322;5544;4720;3988;1820;2282;1786;1553;1817;;;;;;;;;;;;227;;;101;;;45;;;;;;128;;;;;;22;;;;;;;;;;;;
Drechterland;G0498;10642;Den Helder;K11;14712;7464;14;18;7432;1822;1285;806;906;574;563;303;;183;408;;82;;304;;;106;47;;;;;;;;;;;;42;;1;;;;;;;;;;;;;;;;;;;;;
Drimmelen;G1719;10258;Tilburg;K17;21170;9473;29;37;9407;1811;1580;1105;1304;1251;805;342;;317;527;;96;;;;235;;;;;;;;;;;;;13;;;;;;10;;;;;;;;;;;;;6;5;;;;
Dronten;G0303;10210;Lelystad;K5;29809;16019;31;36;15952;3363;3130;1409;1693;1184;1142;873;1511;434;772;323;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;77;;;;;;
Druten;G0225;10068;Nijmegen;K6;14062;6182;20;19;6143;1109;961;886;808;998;560;182;56;150;263;11;;;;;;;;;;;;;26;64;;;;12;;;;;;;9;;;28;;8;;12;;;;;;;;;;
Duiven;G0226;11028;Arnhem;K7;19625;9043;27;19;8997;1740;1338;1190;1065;1299;734;377;193;273;382;24;;;;;;;;;;;;;158;131;;;;10;;;;;;;24;;;20;;14;;16;;;;;;;9;;;
Echt-Susteren;G1711;10941;Venlo;K191;25751;12253;22;74;12157;1099;3393;818;2552;1592;594;448;;352;397;;;;;;;;;255;620;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;
Edam-Volendam;G0385;10884;Den Helder;K11;22400;10834;33;34;10767;1368;3640;558;2816;542;506;474;;281;247;;87;;92;;;70;50;;;;;;;;;;;;29;;7;;;;;;;;;;;;;;;;;;;;;
Ede;G0228;10743;Arnhem;K7;83965;46783;116;119;46548;6326;6344;4475;4314;2567;2778;1869;6194;1219;1119;8381;;;;;;;;;;;;;431;165;;;;38;;;;;;;110;;;107;;24;;55;;;;;;;32;;;
Eemnes;G0317;10248;Utrecht;K8;6696;3900;12;14;3874;917;614;610;411;343;333;137;125;149;145;57;;;;;;;;;;;;;;;;;;3;;;;15;;4;;;;;;11;;;;;;;;;;;;
Eemsmond;G1651;10246;Groningen;K1;12427;7628;19;13;7596;534;1073;363;534;1216;875;262;1014;205;118;;;;;1137;;;;;;;;;;;;;;;;86;;;;;19;27;;;83;;25;;13;;;;;;;8;;4
Eersel;G0770;10741;'s-Hertogenbosch;K18;14563;6784;20;27;6737;1340;1739;774;694;828;440;272;;182;252;;81;;;;114;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;11;2;;;;
Eijsden-Margraten;G1903;11243;Maastricht;K19;19941;9913;33;32;9848;1046;3479;1092;1283;1022;755;458;;273;259;;;;;;;;;53;116;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;
Eindhoven;G0772;11298;'s-Hertogenbosch;K18;163647;66881;200;281;66400;9554;6764;9779;8010;11050;7345;4933;;2768;3563;;1397;;;;820;;;;;;;;;;;;;163;;;;;;;;;;;;;;;;;;;174;80;;;;
Elburg;G0230;11113;Arnhem;K7;17178;9582;25;15;9542;1073;1450;513;860;494;350;164;2231;139;211;1940;;;;;;;;;;;;;31;17;;;;13;;;;;;;11;;;10;;7;;26;;;;;;;2;;;
Emmen;G0114;11180;Assen;K3;84738;37621;135;95;37391;3481;6362;2917;5732;6072;5593;1185;1648;;1657;186;;;;;;;;;;;1351;;;;;;;;;;;;1207;;;;;;;;;;;;;;;;;;;
Enkhuizen;G0388;10729;Den Helder;K11;14127;6748;26;23;6699;1133;692;903;781;1098;703;222;;258;269;;338;;123;;;55;67;;;;;;;;;;;;51;;6;;;;;;;;;;;;;;;;;;;;;
Enschede;G0153;10364;Zwolle;K4;119873;49042;130;172;48740;6087;6263;7126;6183;7352;6251;3031;2603;1438;1563;313;;;;;;;;;;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epe;G0232;10940;Arnhem;K7;25503;12775;33;28;12714;2443;1926;1427;1347;905;1229;460;945;388;607;782;;;;;;;;;;;;;45;61;;;;11;;;;;;;34;;;37;;4;;57;;;;;;;6;;;
Ermelo;G0233;10732;Arnhem;K7;20590;11531;28;25;11478;1744;2549;835;961;661;653;373;1661;349;282;1232;;;;;;;;;;;;;34;33;;;;21;;;;;;;27;;;25;;13;;18;;;;;;;7;;;
Etten-Leur;G0777;10750;Tilburg;K17;32421;13555;45;45;13465;2356;2421;1506;2095;1722;1058;413;;396;638;;152;;;;624;;;;;;;;;;;;;20;;;;;;52;;;;;;;;;;;;;4;8;;;;
Ferwerderadiel;G1722;11284;Leeuwarden;K2;6659;3513;4;10;3499;325;1035;125;266;273;378;81;344;69;52;;;530;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;18;;;;;;1;
Franekeradeel;G0070;10404;Leeuwarden;K2;15729;8309;19;28;8262;819;2022;531;710;876;1111;237;465;192;180;;;1064;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;40;;;;;;7;
Geertruidenberg;G0779;10101;Tilburg;K17;16924;6729;20;20;6689;1261;983;593;1123;1039;449;457;;192;347;;94;;;;135;;;;;;;;;;;;;7;;;;;;4;;;;;;;;;;;;;2;3;;;;
Geldermalsen;G0236;10881;Nijmegen;K6;19802;11110;27;27;11056;2022;1472;970;1435;647;796;354;350;271;300;1534;;;;;;;;;;;;;45;794;;;;14;;;;;;;14;;;19;;4;;15;;;;;;;;;;
Geldrop-Mierlo;G1771;10529;'s-Hertogenbosch;K18;30061;13832;26;54;13752;2046;2227;1699;1828;2529;1030;727;;498;668;;199;;;;213;;;;;;;;;;;;;67;;;;;;;;;;;;;;;;;;;12;9;;;;
Gemert-Bakel;G1652;10277;'s-Hertogenbosch;K18;22684;10372;30;52;10290;1388;3033;937;1373;1918;536;261;;273;326;;56;;;;151;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;7;6;;;;
Gennep;G0907;10542;Venlo;K191;13601;6148;16;18;6114;854;1322;695;645;1530;539;163;;142;146;;;;;;;;;31;34;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;
Giessenlanden;G0689;10255;Dordrecht;K14;11062;6519;8;5;6506;1376;1327;379;648;474;522;116;818;120;140;528;;;;;;;;;;;;9;;;13;;;11;;;;;;23;;;;;;2;;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Tilburg;K17;19899;8647;24;25;8598;1513;1490;938;1072;1448;785;283;;240;521;;55;;;;217;;;;;;;;;;;;;15;;;;;;15;;;;;;;;;;;;;3;3;;;;
Goeree-Overflakkee;G1924;11067;Dordrecht;K14;37585;20556;52;28;20476;2920;2176;943;2905;1456;1431;363;1643;506;546;5396;;;;;;;;;;;;39;;;41;;;25;;;;;;75;;;;;;11;;;;;;;;;;;;
Goes;G0664;10674;Middelburg;K16;29152;15299;39;35;15225;2197;2367;1398;1384;1973;1641;700;979;;409;1399;;;;;;;;;;;;;;;;246;380;;;;;;;;;;152;;;;;;;;;;;;;;;
Goirle;G0785;10971;Tilburg;K17;17986;8505;11;16;8478;1429;1462;1188;932;1504;739;406;;263;302;;44;;;;175;;;;;;;;;;;;;12;;;;;;10;;;;;;;;;;;;;5;7;;;;
Gorinchem;G0512;10942;Dordrecht;K14;26336;11617;34;44;11539;1942;1338;1275;1419;1643;1344;532;816;340;354;398;;;;;;;;;;;;42;;;25;;;17;;;;;;45;;;;;;9;;;;;;;;;;;;
Gouda;G0513;10302;Leiden;K15;53232;27452;80;94;27278;3397;2875;3875;3527;2503;3017;1761;2206;1131;858;1864;;;;;;;;;;;;77;;;90;;;60;;;;;;;;;;;;37;;;;;;;;;;;;
Grave;G0786;10165;'s-Hertogenbosch;K18;9563;4818;15;8;4795;772;920;493;644;997;351;169;;159;162;;36;;;;77;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;3;4;;;;
