RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Nuth;G0951;10104;Maastricht;K19;12666;6378;14;38;6326;739;1608;473;1072;774;611;293;;283;251;;;;;;;;;62;151;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;
Oegstgeest;G0579;10287;Leiden;K15;16748;10437;17;29;10391;2571;1157;2252;687;598;1189;668;314;424;257;57;;;;;;;;;;;;25;;;166;;;20;;;;;;;;;;;;6;;;;;;;;;;;;
Oirschot;G0823;10225;'s-Hertogenbosch;K18;14206;6948;17;23;6908;1360;1642;696;772;1257;474;186;;150;223;;32;;;;98;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;6;4;;;;
Oisterwijk;G0824;10103;Tilburg;K17;20098;9766;36;19;9711;2314;1770;1278;996;1288;735;411;;252;385;;99;;;;162;;;;;;;;;;;;;4;;;;;;10;;;;;;;;;;;;;2;5;;;;
Oldambt;G1895;10453;Groningen;K1;30898;15696;68;47;15581;1343;1439;894;1815;3295;2062;377;807;470;349;;;;;697;;;;;;;;;;;;;;;;932;;;;;29;159;;;135;;68;;644;;;;;;;40;;26
Oldebroek;G0269;11106;Arnhem;K7;17556;8781;28;17;8736;662;1497;371;746;436;363;116;2381;106;169;1793;;;;;;;;;;;;;27;23;;;;10;;;;;;;6;;;5;;6;;12;;;;;;;7;;;
Oldenzaal;G0173;11100;Zwolle;K4;24730;11746;26;22;11698;1868;2814;1569;1375;1509;1063;645;87;221;374;23;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olst-Wijhe;G1773;10409;Zwolle;K4;13890;7231;19;17;7195;1040;1733;817;513;722;1278;320;164;224;238;55;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ommen;G0175;11069;Zwolle;K4;13405;7633;12;18;7603;900;2390;605;530;414;498;135;1243;142;163;163;;;;;;;;;;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onderbanken;G0881;10492;Maastricht;K19;6315;3006;5;13;2988;344;530;253;718;508;265;49;;119;120;;;;;;;;;31;44;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;
Oost Gelre;G1586;11094;Arnhem;K7;23024;10941;23;26;10892;2187;3176;1235;843;1248;800;271;78;187;421;33;;;;;;;;;;;;;280;50;;;;13;;;;;;;22;;;21;;9;;13;;;;;;;5;;;
Oosterhout;G0826;11280;Tilburg;K17;41723;17612;45;50;17517;3434;2529;2419;2498;2494;1301;832;;520;756;;197;;;;465;;;;;;;;;;;;;18;;;;;;32;;;;;;;;;;;;;11;11;;;;
Ooststellingwerf;G0085;10836;Leeuwarden;K2;20339;10669;26;27;10616;1431;1958;748;1121;1354;1701;464;690;387;353;;;359;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;34;;;;;;2;
Oostzaan;G0431;11303;Den Helder;K11;7196;3664;13;7;3644;759;260;443;632;364;409;179;;165;164;;104;;81;;;36;24;;;;;;;;;;;;21;;3;;;;;;;;;;;;;;;;;;;;;
Opmeer;G0432;10609;Den Helder;K11;8684;4104;8;9;4087;986;891;428;483;287;297;127;;101;177;;52;;120;;;86;26;;;;;;;;;;;;25;;1;;;;;;;;;;;;;;;;;;;;;
Opsterland;G0086;10005;Leeuwarden;K2;23108;12679;31;30;12618;1418;2132;955;865;1502;2228;459;1362;338;214;;;1080;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;45;;;;;;7;
Oss;G0828;10834;'s-Hertogenbosch;K18;68881;29631;83;102;29446;4622;4987;3107;3678;7317;2067;893;;752;1371;;213;;;;376;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;24;11;;;;
Oud-Beijerland;G0584;11301;Dordrecht;K14;18235;9077;20;37;9020;1529;987;877;1154;759;829;363;552;284;359;1183;;;;;;;;;;;;41;;;80;;;9;;;;;;11;;;;;;3;;;;;;;;;;;;
